Month,before(2013),after(2014)
August,30.03342542,17.59250818
September,26.59406292,17.16678744
Octobor,32.53783796,20.59543011
November,35.15922266,16.87125604
December,40.34905896,22.85232585
January,26.20079476,25.83488284
February,19.1629855,24.28460212
March,25.00081814,21.99073421
April,23.46274155,22.90867601
May,20.81225372,20.36090026
June,18.12065217,16.71382142
July,14.4358345,17.31698998
