month,before,after
八月,30.03342542,17.59250818
九月,26.59406292,17.16678744
十月,32.53783796,20.59543011
十一月,35.15922266,16.87125604
十二月,40.34905896,22.85232585
一月,26.20079476,25.83488284
二月,19.1629855,24.28460212
三月,25.00081814,21.99073421
四月,23.46274155,22.90867601
五月,20.81225372,20.36090026
六月,18.12065217,16.71382142
七月,14.4358345,17.31698998
